Energy_Source,Municipality,Month,Day_Type,Hour,Value
Solar_C1_Total,Agliè,May,Weekend,21,0
Solar_C1_Total,Agliè,May,Weekend,22,0
Solar_C1_Total,Agliè,May,Weekend,23,0
Solar_C1_Total,Agliè,May,Weekend,24,0
Solar_C1_Total,Agliè,Jun,Weekday,1,0
Solar_C1_Total,Agliè,Jun,Weekday,2,0
Solar_C1_Total,Agliè,Jun,Weekday,3,0
Solar_C1_Total,Agliè,Jun,Weekday,4,0
Solar_C1_Total,Agliè,Jun,Weekday,5,740.0020363399999
Solar_C1_Total,Agliè,Jun,Weekday,6,6675.799156028999
Solar_C1_Total,Agliè,Jun,Weekday,7,10041.742891754
Solar_C1_Total,Agliè,Jun,Weekday,8,17111.560701037
Solar_C1_Total,Agliè,Jun,Weekday,9,23793.198125185
Solar_C1_Total,Agliè,Jun,Weekday,10,29880.496860329004
Solar_C1_Total,Agliè,Jun,Weekday,11,33640.463189798
Solar_C1_Total,Agliè,Jun,Weekday,12,36277.65118705599
Solar_C1_Total,Agliè,Jun,Weekday,13,36268.611750391996
Solar_C1_Total,Agliè,Jun,Weekday,14,33671.282679612
Solar_C1_Total,Agliè,Jun,Weekday,15,29737.187634563
Solar_C1_Total,Agliè,Jun,Weekday,16,20061.972172469
Solar_C1_Total,Agliè,Jun,Weekday,17,10646.221907369
Solar_C1_Total,Agliè,Jun,Weekday,18,2662.000194745
Solar_C1_Total,Agliè,Jun,Weekday,19,4536.068221167
Solar_C1_Total,Agliè,Jun,Weekday,20,0
Solar_C1_Total,Agliè,Jun,Weekday,21,0
Solar_C1_Total,Agliè,Jun,Weekday,22,0
Solar_C1_Total,Agliè,Jun,Weekday,23,0
Solar_C1_Total,Agliè,Jun,Weekday,24,0
Solar_C1_Total,Agliè,Jun,Weekend,1,0
Solar_C1_Total,Agliè,Jun,Weekend,2,0
Solar_C1_Total,Agliè,Jun,Weekend,3,0
Solar_C1_Total,Agliè,Jun,Weekend,4,0
Solar_C1_Total,Agliè,Jun,Weekend,5,740.0020363399999
Solar_C1_Total,Agliè,Jun,Weekend,6,6675.799156028999
Solar_C1_Total,Agliè,Jun,Weekend,7,10041.742891754
Solar_C1_Total,Agliè,Jun,Weekend,8,17111.560701037
Solar_C1_Total,Agliè,Jun,Weekend,9,23793.198125185
Solar_C1_Total,Agliè,Jun,Weekend,10,29880.496860329004
Solar_C1_Total,Agliè,Jun,Weekend,11,33640.463189798
Solar_C1_Total,Agliè,Jun,Weekend,12,36277.65118705599
Solar_C1_Total,Agliè,Jun,Weekend,13,36268.611750391996
Solar_C1_Total,Agliè,Jun,Weekend,14,33671.282679612
Solar_C1_Total,Agliè,Jun,Weekend,15,29737.187634563
Solar_C1_Total,Agliè,Jun,Weekend,16,20061.972172469
Solar_C1_Total,Agliè,Jun,Weekend,17,10646.221907369
Solar_C1_Total,Agliè,Jun,Weekend,18,2662.000194745
Solar_C1_Total,Agliè,Jun,Weekend,19,4536.068221167
Solar_C1_Total,Agliè,Jun,Weekend,20,0
Solar_C1_Total,Agliè,Jun,Weekend,21,0
Solar_C1_Total,Agliè,Jun,Weekend,22,0
Solar_C1_Total,Agliè,Jun,Weekend,23,0
Solar_C1_Total,Agliè,Jun,Weekend,24,0
Solar_C1_Total,Agliè,Jul,Weekday,1,0
Solar_C1_Total,Agliè,Jul,Weekday,2,0
Solar_C1_Total,Agliè,Jul,Weekday,3,0
Solar_C1_Total,Agliè,Jul,Weekday,4,0
Solar_C1_Total,Agliè,Jul,Weekday,5,13.139998826
Solar_C1_Total,Agliè,Jul,Weekday,6,4530.121418522
Solar_C1_Total,Agliè,Jul,Weekday,7,9845.116836831
Solar_C1_Total,Agliè,Jul,Weekday,8,14554.914423091
Solar_C1_Total,Agliè,Jul,Weekday,9,21498.880033244
Solar_C1_Total,Agliè,Jul,Weekday,10,26890.819590865998
Solar_C1_Total,Agliè,Jul,Weekday,11,30832.487011261
Solar_C1_Total,Agliè,Jul,Weekday,12,33166.280300175
Solar_C1_Total,Agliè,Jul,Weekday,13,32976.213598067
Solar_C1_Total,Agliè,Jul,Weekday,14,30933.709008233
Solar_C1_Total,Agliè,Jul,Weekday,15,26966.915246228
Solar_C1_Total,Agliè,Jul,Weekday,16,22052.029236499995
Solar_C1_Total,Agliè,Jul,Weekday,17,16204.251815998998
Solar_C1_Total,Agliè,Jul,Weekday,18,10482.367694828
Solar_C1_Total,Agliè,Jul,Weekday,19,4903.383595083
Solar_C1_Total,Agliè,Jul,Weekday,20,0
Solar_C1_Total,Agliè,Jul,Weekday,21,0
Solar_C1_Total,Agliè,Jul,Weekday,22,0
Solar_C1_Total,Agliè,Jul,Weekday,23,0
Solar_C1_Total,Agliè,Jul,Weekday,24,0
Solar_C1_Total,Agliè,Jul,Weekend,1,0
Solar_C1_Total,Agliè,Jul,Weekend,2,0
Solar_C1_Total,Agliè,Jul,Weekend,3,0
Solar_C1_Total,Agliè,Jul,Weekend,4,0
Solar_C1_Total,Agliè,Jul,Weekend,5,13.139998826
Solar_C1_Total,Agliè,Jul,Weekend,6,4530.121418522
Solar_C1_Total,Agliè,Jul,Weekend,7,9845.116836831
Solar_C1_Total,Agliè,Jul,Weekend,8,14554.914423091
Solar_C1_Total,Agliè,Jul,Weekend,9,21498.880033244
Solar_C1_Total,Agliè,Jul,Weekend,10,26890.819590865998
Solar_C1_Total,Agliè,Jul,Weekend,11,30832.487011261
Solar_C1_Total,Agliè,Jul,Weekend,12,33166.280300175
Solar_C1_Total,Agliè,Jul,Weekend,13,32976.213598067
Solar_C1_Total,Agliè,Jul,Weekend,14,30933.709008233
Solar_C1_Total,Agliè,Jul,Weekend,15,26966.915246228
Solar_C1_Total,Agliè,Jul,Weekend,16,22052.029236499995
Solar_C1_Total,Agliè,Jul,Weekend,17,16204.251815998998
Solar_C1_Total,Agliè,Jul,Weekend,18,10482.367694828
Solar_C1_Total,Agliè,Jul,Weekend,19,4903.383595083
Solar_C1_Total,Agliè,Jul,Weekend,20,0
Solar_C1_Total,Agliè,Jul,Weekend,21,0
Solar_C1_Total,Agliè,Jul,Weekend,22,0
Solar_C1_Total,Agliè,Jul,Weekend,23,0
Solar_C1_Total,Agliè,Jul,Weekend,24,0
Solar_C1_Total,Agliè,Aug,Weekday,1,0
Solar_C1_Total,Agliè,Aug,Weekday,2,0
Solar_C1_Total,Agliè,Aug,Weekday,3,0
Solar_C1_Total,Agliè,Aug,Weekday,4,0
Solar_C1_Total,Agliè,Aug,Weekday,5,0
Solar_C1_Total,Agliè,Aug,Weekday,6,3370.513481264
Solar_C1_Total,Agliè,Aug,Weekday,7,8541.657100931
Solar_C1_Total,Agliè,Aug,Weekday,8,12300.141578849998
Solar_C1_Total,Agliè,Aug,Weekday,9,18486.249516912
Solar_C1_Total,Agliè,Aug,Weekday,10,23854.287403591
